,ID,General.All.ID,General.All.rtmed,General.All.mzmed,General.All.annot_ms1,General.All.annot_ms2,General.Extended.mzmin,General.Extended.mzmax,General.Extended.rtmin,General.Extended.rtmax,General.Extended.npeaks,General.Extended.peakidx,General.Extended.ms2spectrum,General.Extended.purity,PCA_filled.All_samples.PC1..54..,PCA_filled.All_samples.PC2..18.5..,PCA_filled.All_samples.PC3..8.6..,PCA_filled.All_samples.PC4..4.2..,PCA_filled.All_samples.PC5..3.6..,PCA_filled.All_samples.PC6..2.6..,PCA_filled.samples.PC1..59.8..,PCA_filled.samples.PC2..17.8..,PCA_filled.samples.PC3..7.6..,PCA_filled.samples.PC4..3.9..,PCA_filled.samples.PC5..2.8..,PCA_filled.samples.PC6..1.8..,PCA_filled.samples.PC7..1.5..,PCA_filled.samples.PC8..1.3..,PCA_filled.samples.PC9..1.1..,PCA_filled.samples.PC10..0.8..,PCA_filled.samples.PC11..0.7..,PCA_filled.samples.PC12..0.6..,PCA_filled.samples.PC13..0.4..,PCA_filled.samples.PC14..0..,PCA_nofill.All_samples.PC1..63.8..,PCA_nofill.All_samples.PC2..12.2..,PCA_nofill.All_samples.PC3..7.3..,PCA_nofill.All_samples.PC4..4..,PCA_nofill.All_samples.PC5..3.4..,PCA_nofill.All_samples.PC6..2.2..,PCA_nofill.samples.PC1..69.2..,PCA_nofill.samples.PC2..11..,PCA_nofill.samples.PC3..7.2..,PCA_nofill.samples.PC4..3.1..,PCA_nofill.samples.PC5..2.3..,PCA_nofill.samples.PC6..1.7..,PCA_nofill.samples.PC7..1.3..,PCA_nofill.samples.PC8..1.1..,PCA_nofill.samples.PC9..0.8..,PCA_nofill.samples.PC10..0.7..,PCA_nofill.samples.PC11..0.6..,PCA_nofill.samples.PC12..0.5..,PCA_nofill.samples.PC13..0.4..,PCA_nofill.samples.PC14..0..,Stats.Mean.DMSO_SP,Stats.N.value.DMSO_SP,Stats.Quantile.DMSO_SP,Stats.Mean.DMSO_EP,Stats.N.value.DMSO_EP,Stats.Quantile.DMSO_EP,Stats.Mean.I_EP,Stats.N.value.I_EP,Stats.Quantile.I_EP,Stats.Mean.DMSO_I,Stats.N.value.DMSO_I,Stats.Quantile.DMSO_I,Stats.Mean.QC_QC,Stats.N.value.QC_QC,Stats.Quantile.QC_QC,ttest.DMSO_SP_vs_DMSO_EP.pvalue,ttest.DMSO_SP_vs_DMSO_EP.log.pvalue,ttest.DMSO_SP_vs_DMSO_EP.fdr,ttest.DMSO_SP_vs_DMSO_EP.log.fdr,ttest.DMSO_SP_vs_DMSO_EP.mean.diff,ttest.DMSO_SP_vs_I_EP.pvalue,ttest.DMSO_SP_vs_I_EP.log.pvalue,ttest.DMSO_SP_vs_I_EP.fdr,ttest.DMSO_SP_vs_I_EP.log.fdr,ttest.DMSO_SP_vs_I_EP.mean.diff,ttest.DMSO_SP_vs_DMSO_I.pvalue,ttest.DMSO_SP_vs_DMSO_I.log.pvalue,ttest.DMSO_SP_vs_DMSO_I.fdr,ttest.DMSO_SP_vs_DMSO_I.log.fdr,ttest.DMSO_SP_vs_DMSO_I.mean.diff,ttest.DMSO_SP_vs_QC_QC.pvalue,ttest.DMSO_SP_vs_QC_QC.log.pvalue,ttest.DMSO_SP_vs_QC_QC.fdr,ttest.DMSO_SP_vs_QC_QC.log.fdr,ttest.DMSO_SP_vs_QC_QC.mean.diff,ttest.DMSO_EP_vs_I_EP.pvalue,ttest.DMSO_EP_vs_I_EP.log.pvalue,ttest.DMSO_EP_vs_I_EP.fdr,ttest.DMSO_EP_vs_I_EP.log.fdr,ttest.DMSO_EP_vs_I_EP.mean.diff,ttest.DMSO_EP_vs_DMSO_I.pvalue,ttest.DMSO_EP_vs_DMSO_I.log.pvalue,ttest.DMSO_EP_vs_DMSO_I.fdr,ttest.DMSO_EP_vs_DMSO_I.log.fdr,ttest.DMSO_EP_vs_DMSO_I.mean.diff,ttest.DMSO_EP_vs_QC_QC.pvalue,ttest.DMSO_EP_vs_QC_QC.log.pvalue,ttest.DMSO_EP_vs_QC_QC.fdr,ttest.DMSO_EP_vs_QC_QC.log.fdr,ttest.DMSO_EP_vs_QC_QC.mean.diff,ttest.I_EP_vs_DMSO_I.pvalue,ttest.I_EP_vs_DMSO_I.log.pvalue,ttest.I_EP_vs_DMSO_I.fdr,ttest.I_EP_vs_DMSO_I.log.fdr,ttest.I_EP_vs_DMSO_I.mean.diff,ttest.I_EP_vs_QC_QC.pvalue,ttest.I_EP_vs_QC_QC.log.pvalue,ttest.I_EP_vs_QC_QC.fdr,ttest.I_EP_vs_QC_QC.log.fdr,ttest.I_EP_vs_QC_QC.mean.diff,ttest.DMSO_I_vs_QC_QC.pvalue,ttest.DMSO_I_vs_QC_QC.log.pvalue,ttest.DMSO_I_vs_QC_QC.fdr,ttest.DMSO_I_vs_QC_QC.log.fdr,ttest.DMSO_I_vs_QC_QC.mean.diff
0,FT0001,FT0001,335.475745164869,63.9627018632878,,NI,63.9626651147307,63.9627386118448,335.428127460462,335.523362869277,2,6165;23421;26913;29053;31324;33564;38166;40431;42556;44658;46780;48872;50909;52960;55023;59380,63.96486|75.4109959294155,1.0,-0.00196128179933,0.052449113684046,0.000617319615545,-0.005415132586662,0.028207778101512,0.0103412346138,-0.001713612103701,0.053757109702259,-0.010980134848531,0.023040771755642,-0.024189476931638,0.020305141452581,0.014538369917973,-0.018371964349483,0.000704913083931,0.031058352681123,0.002242420526395,-0.003974995188006,-0.013861388460578,0.297818146768697,0.002225473707159,0.082476315891594,-0.064464948832662,0.002083939066089,0.027749514248107,-0.001722497396146,0.002333602883409,0.093223479592127,-0.044554278080785,-0.032509370516608,0.022393102985272,-0.041383585627913,0.001829364087817,0.031367843472472,-0.028627696340229,-0.035231840407776,0.010063346964144,0.019500642289872,-0.025119313588516,-0.199865401056132,2.0271427958511,4,0.120151133501259,2.24846685288546,3,0.137027707808564,4.18503549445898,3,0.730982367758186,4.08701241301732,4,0.685642317380353,3.97242695242197,2,0.662972292191436,0.457865683218331,0.339261905385623,0.532328742013779,0.273820084342005,-0.22132405703436,1.28329412952998e-05,4.89167379242326,9.6408403941159e-05,4.01588510690432,-2.15789269860788,2.78563415083392e-06,5.55507592190602,6.78353501545666e-05,4.16854392890321,-2.05986961716622,0.001615834437293,2.79160314025299,0.013118328662687,1.88212149261349,-1.94528415657087,0.002971487324846,2.52702611792503,0.030295842818325,1.51861696109925,-1.93656864157351,0.000883744362158,3.05367334376553,0.001806766251522,2.74309803019532,-1.83854556013186,0.032679249736221,1.48572792273814,0.063783983015141,1.19528836456175,-1.72396009953651,0.328864147497744,0.482983470368381,0.363555185884603,0.439429656040048,0.098023081441658,0.471868255661878,0.326179238284511,0.570731778577313,0.243567945084592,0.212608542037004,0.644880516328661,0.190520744133791,0.742595357990072,0.129247769903285,0.114585460595346
1,FT0002,FT0002,318.025018896803,63.9626403329074,,NI,63.9624742457862,63.9626763990335,313.741747960878,320.842651020239,5,14438;16218;18137;19964;25203;26914;29054;31325;33565;35844;38167;40432;42557;44659;55024;57243,63.96538|640.999037326841,1.0,-0.026911949564315,0.035831444808486,-0.055484210488787,0.007158264310876,0.022253704749828,0.002516307723682,-0.02565642866304,0.046634375028669,0.036513153777707,0.003638082716025,-0.000882679704942,-0.003554909554648,0.01039630255046,0.004363108948881,-0.012353421943721,-0.007794187858785,-0.013174243106277,-0.000993247702828,-0.013298861641532,-0.306427761267819,-0.030464677376219,0.025633192373917,-0.13106765722823,0.003420253111828,0.016099719505218,-0.005175813499402,-0.029002592293393,0.060675320014645,-0.107406411534639,-0.005532694086526,0.001545126269433,0.002358610047992,-0.016488966598432,-0.002485470263495,0.028976903199655,0.006095438146488,0.006272499749052,-0.008190943918118,-0.027646422166392,-0.094752846900011,1.87820899724962,4,0.109823677581864,2.00536882008368,3,0.111586901763224,2.00580566382256,3,0.082619647355164,4.74014265205782,4,0.917128463476071,2.97670479899933,2,0.142317380352645,0.549812477111064,0.259785408765013,0.620133620500269,0.207514722770229,-0.127159822834058,0.567140001609011,0.246309719906053,0.613115901711968,0.212457419908971,-0.127596666572941,2.31497027431587e-06,5.63545458122636,5.85420367447186e-05,4.23253217203539,-2.8619336548082,0.273834509176957,0.562511822086862,0.396369528670969,0.401899739753645,-1.09849580174971,0.99727247219761,0.001186168664191,0.998063468629985,0.000841840276423,-0.000436843738883,1.73971795131073e-07,6.75952115523364,4.61900954052702e-06,5.33545114072077,-2.73477383197414,0.409910152249532,0.387311325373787,0.488398350669461,0.311225811345422,-0.971335978915653,8.49699056210506e-07,6.07073486413224,1.50539792679845e-05,4.82234868640233,-2.73433698823526,0.412018994227735,0.38508276236942,0.512729002543833,0.290112115973869,-0.97089913517677,0.101974069421475,0.991510249207362,0.224241204764407,0.649284581939134,1.76343785305849
2,FT0003,FT0003,68.6048202091689,63.9625907173448,,NI,63.9625571539911,63.9626395859116,68.5829020201108,68.7889923095299,3,1;14439;18138;29055;31326;33566;35845;38168;40433;42558;44660;48873;52961;55025;57244;59381,63.96521|108.403847022115,1.0,0.000612334244909,-0.000914642588876,-0.001443470033957,0.000851988896365,0.00538133624091,-0.001919500695862,0.000583049906587,0.000161742370109,9.64370754003437e-05,0.003118101173956,-5.13972444004067e-05,0.007925053463135,-0.009393614964912,0.001959176158555,-0.000899519054519,-0.00599110346111,-0.006715384182288,0.003265280206379,-0.001941537500309,0.318719847932332,0.000807173908956,-0.002142710494752,-0.001031876406782,0.003437407985285,0.005365331810376,0.005498997101889,0.00078888116072,0.000125362815878,9.7291166820804e-05,-0.005412326166347,-0.002004023893538,-0.001358609431999,0.018420892246279,-0.001957027783274,0.010996667142904,-0.001289209210902,0.007888338864942,-0.010154696146376,-0.001462599101623,-0.03878865414243,3.82181161432069,4,0.558438287153652,3.86211033633741,3,0.581108312342569,3.86615066619118,3,0.578337531486146,3.82227088569757,4,0.546599496221662,3.70886994078805,2,0.51007556675063,0.652990077652806,0.185093417887826,0.714049005779855,0.146271981207828,-0.040298722016718,0.61634425507919,0.210176647705542,0.659422980549778,0.180835921991087,-0.044339051870485,0.995590101320719,0.001919430025639,0.997082228046378,0.001269024522615,-0.000459271376876,0.327771706821075,0.484428537348184,0.452138177929003,0.344728820185655,0.112941673532646,0.939653039580655,0.027032477050798,0.967246416726181,0.014462870496797,-0.004040329853767,0.544448719178289,0.264043019538507,0.585600634330971,0.232398461515424,0.039839450639841,0.067897591368072,1.16814563181831,0.114763081935296,0.940197797394317,0.153240395549363,0.494070101316156,0.306211426673811,0.52831390283672,0.277107960492648,0.043879780493608,0.050998126367382,1.29244577926,0.102047714012632,0.991196719539968,0.157280725403131,0.180072219694732,0.744553281982661,0.31329206671799,0.504050602322963,0.113400944909522
3,FT0004,FT0004,79.1625546299299,73.0300015448853,Lactaldehyde;3-Hydroxypropanal;D-Lactaldehyde,1,73.0298227434398,73.0301211856251,78.1869871199503,80.1768720440231,5,4576;6166;7815;23423;25205;26915;29056;31327;40434;42559;44661;46781;48874;50910;52962;55026,73.03069|100.724565479149,1.0,0.031063806812214,0.024063003002674,0.016020288353216,-0.033215759837787,0.010890651057999,0.033407622103413,0.031858174413841,0.016696797368483,-0.025524260794097,0.014803477731582,-0.030438652067296,-0.000884827117566,0.020100321870609,-0.017601960460475,-0.005155640665004,0.006998112755695,0.007237002327344,0.023472740103173,0.035425066109191,-0.070107815905991,0.042653919933158,0.042595180337432,0.010346382905264,-0.039082058855807,0.045806090768813,-0.040376193804964,0.043152765226519,0.03322744348031,0.027974078451164,-0.021160569286847,0.037772107192733,-0.033576576452175,-0.022098073103382,0.030137733141079,-0.014142381144745,0.006842961459305,-0.010942796017531,-0.010030256252312,0.060356006752414,0.104939241027336,2.60657207514864,4,0.189420654911839,3.80338781813756,3,0.553400503778337,5.38264412374759,3,0.982115869017632,2.3738181515169,4,0.10831234256927,4.50960636224898,2,0.889420654911839,0.000161999254391,3.79048698431302,0.000585515892497,3.23246131249593,-1.19681574298892,1.79737864304806e-06,5.7453604230223,2.84179543508543e-05,4.54640718770732,-2.77607204859895,0.196908344031997,0.70573588015303,0.365726655935135,0.436843385017022,0.23275392363174,0.000168800694716,3.77262577032352,0.003764824483283,2.4242552658693,-1.90303428710034,9.95871914941454e-06,5.00179651520203,0.001595013731818,2.79723557365576,-1.57925630561003,0.000310243298096,3.50829759139634,0.000748695522061,3.12569476437413,1.42956966662066,0.002589570727689,2.58677222280957,0.010821679777817,1.9657053213353,-0.706218544111422,6.86008806169443e-06,5.16367030929872,5.38618795338979e-05,4.26871849576376,3.00882597223069,0.000104228344406,3.9820141606399,0.004705369412136,2.32740627503067,0.873037761498608,0.000419111716868,3.37767019767244,0.007733098515421,2.1116464571139,-2.13578821073208
4,FT0005,FT0005,104.11096894609,73.0300557524846,Lactaldehyde;3-Hydroxypropanal;D-Lactaldehyde,1,73.0298248759677,73.0301010618323,103.686861772426,106.131844399365,5,4577;6167;7814;23422;25204;26916;29057;31328;40435;42560;44662;46782;48875;50911;52963;55027,,0.0,0.034133757462349,0.025450589388817,0.009283770703566,-0.029577588644681,0.003600948300261,0.034090893040037,0.035000644543369,0.01845532204967,-0.017351358999076,0.008118057456158,-0.028203135870423,0.004733329835639,0.006591896291525,0.010602722825081,-0.005211187934465,0.007852776527645,-0.005932740263593,0.008448789918018,-0.001897736882357,-0.192968100557318,0.047092639434632,0.039040727356452,0.001945360329632,-0.042424975186509,0.032832302450128,-0.044301856842667,0.04761583089637,0.029561771380782,0.016753368184268,-0.012778853985918,0.036078329132976,-0.024006361573638,-0.004810857877116,0.000323895530544,0.016516898862586,-0.029316573939199,-0.002004049815992,-0.005472359690801,-0.002210473238585,0.021880193785633,2.55797106087341,4,0.182619647355164,4.20932984097013,3,0.739294710327456,5.50906400358469,3,0.986649874055416,2.47645356768599,4,0.119899244332494,4.6649605130232,2,0.92544080604534,3.66147865364839e-05,4.4363434934484,0.000192185089647,3.71628030935953,-1.65135878009672,5.78394525271195e-07,6.23777582646,1.58927237130964e-05,4.79880166653086,-2.95109294271127,0.347930908483887,0.458506988936388,0.52011649638838,0.283899371610999,0.081517493187427,5.30571003767727e-05,4.27525648832989,0.001918577353103,2.71702068625008,-2.10698945214979,0.000174375989859,3.75851331406919,0.006177593934117,2.20918064216082,-1.29973416261456,4.60423195125925e-06,5.33684280567333,3.44709779565218e-05,4.46254639529538,1.73287627328414,0.03291165745252,1.48265024580171,0.064111521141563,1.193063918709,-0.455630672053072,2.50324320157613e-09,8.60149695463806,5.83844664367609e-07,6.23370268436271,3.0326104358987,8.71655194688831e-05,4.05965527729012,0.004381947266248,2.35833285318231,0.844103490561484,3.37077201350368e-07,6.47227062055102,0.000133718525776,3.87380842007687,-2.18850694533722
5,FT0006,FT0006,53.5072435842538,78.9596166446559,Carbon dioxide,1,78.9594547345341,78.9597190060728,51.2649729456836,54.865537407462,16,2;1581;3024;4578;6169;7816;9444;11082;12761;14440;16219;18139;19965;21850;23424;25206,62.77923;62.96623;63.9641;78.72557;78.96243|553.310302099418;228424.439281044;518.452958299896;990.854473256323;410118.016155644,1.0,0.003285036690932,-0.00102026747855,-0.000314464474169,0.002571224565347,-3.50763637887493e-05,0.000318438037827,0.00319614669506,-0.000508229953426,0.000927554643415,-0.000845530870574,-0.001336083191761,-0.000288880154422,-0.002942333383661,0.002332708864171,0.001874327716348,0.001023576619564,0.003495379481013,0.001824671465612,-0.002454018245339,-0.046481435634958,0.004314880888828,-0.002447998443304,0.002067724863465,0.003217734418768,-0.00162340532178,-0.000506744391209,0.004201780494233,-0.002295967904264,0.000753399553604,0.000133185468796,0.002467020210646,0.002639398262506,0.002533249593245,-0.004330962504681,-0.003072373756701,-0.004113711211554,-0.003241441127253,-0.004455588983807,-0.002658402020596,0.009027409240297,5.6650962835031,4,0.98639798488665,5.85717876683092,3,0.994710327455919,5.82791426362869,3,0.994206549118388,5.6031385634411,4,0.986146095717884,5.61609948241931,2,0.991939546599496,0.002258772107607,2.646127583777,0.005213272834708,2.28288954583689,-0.192082483327819,0.003403728945022,2.46804503212691,0.007414324291094,2.12992842252108,-0.162817980125587,0.048027171354776,1.31851299114966,0.139211749444962,0.856324108807555,0.061957720062001,0.424482684703507,0.372140020593391,0.544164924679534,0.26426945503891,0.048996801083789,0.350669270918484,0.455102289593974,0.540953370586345,0.266840168848734,0.029264503202231,6.85826720252824e-05,4.1637855984974,0.000230904723857,3.63656718218001,0.254040203389819,0.026393945695126,1.57849568118846,0.054040208566091,1.26728298350405,0.241079284411607,4.5383793272022e-05,4.34309920769614,0.00018862341753,3.72440439074662,0.224775700187588,0.032106374813203,1.49340872861296,0.072184740651454,1.14155459953947,0.211814781209376,0.783644842495777,0.105880720340324,0.856868547458861,0.067085798254231,-0.012960918978212
6,FT0007,FT0007,69.0077393799745,79.9573054683303,,NI,79.9572269126377,79.957384024023,68.701926230691,69.3135525292579,2,11083;23425;26917;29058;31329;33567;35846;38169;40436;44663;46783;48876;50912;52964;55028;59382,238.3907;238.3974|36.3958947738183;36.3959379551488,1.0,0.002663704985848,0.000153171518365,-0.000641929727835,0.003195553477474,0.003998565778841,-0.001379465918568,0.002575062458199,0.001185672501678,0.000112665930601,0.001050869093146,-0.000618679722624,0.007245606032553,-0.005589813356107,0.002034527950642,-0.00198036006101,-0.007233557230132,-0.004269990691065,0.004905195000782,-0.003576039629243,-0.1821090329931,0.003618413510367,-0.000576860403951,-0.000459951747284,0.00606230518352,0.001888380681357,0.003196463996734,0.003514847386765,0.001070717431811,-0.000378652247055,-0.001580811984325,-0.000252915165345,-0.003642877948794,0.014351362526006,-0.00160911548244,0.010145653626883,0.001128287993739,0.003610825198119,-0.012470169458332,-0.004375337106318,-0.004627004359518,3.62917572132889,4,0.467254408060453,3.79373926343342,3,0.548110831234257,3.82994245765996,3,0.561209068010076,3.64002688607117,4,0.447607052896725,3.57677256384577,2,0.424181360201511,0.079737165743489,1.09833920539094,0.116797678936508,0.932565787660969,-0.16456354210453,0.029156581425006,1.53526339788802,0.047202465566245,1.32603531590301,-0.200766736331069,0.860539955754576,0.065228960129126,0.914309217735471,0.038906901809845,-0.010851164742286,0.582765851217671,0.234505904846869,0.687546064893585,0.162698199230214,0.052403157483119,0.504805258190753,0.296876130009295,0.665337565313306,0.176957955363945,-0.036203194226539,0.022349073963699,1.65074046719815,0.031274473505622,1.50480999276253,0.153712377362245,0.055037169954161,1.25934390589338,0.096765971974322,1.01427733671921,0.21696669958765,0.001783932183737,2.74862165937055,0.00349470904571,2.45658897588469,0.189915571588783,0.01167726241402,1.93265896012065,0.036266266823809,1.44049714751479,0.253169893814189,0.251350112085259,0.599720916769708,0.383258747968836,0.416507923489284,0.063254322225405
7,FT0008,FT0008,176.295605355151,87.0452345474185,Acetoin;Methyl propionate;Ethyl acetate,1,87.0451311835,87.045337911337,175.808080453699,176.783130256603,2,3;16221;29059;31330;33568;38170;40437;42561;44664;46784;50913;52965;55029;57245;59383,237.7108;237.7262;240.0787;240.2918;240.3533;241.3478;241.5079;242.2369;242.6444;243.791;243.9919;244.2068|81.7726590232553;72.6886653549741;45.655507482212;36.5403645884896;45.6812673219986;64.086722826886;36.6326433483209;55.0325616401949;36.7188032652734;36.8054593049635;41.4233509626285;36.8367150139136,1.0,-0.034896370675745,-0.00232804929574,0.017652845720631,-0.009914501860404,-0.022493015744714,0.01148846972039,-0.034736182501515,-0.009657134964621,-0.011058278618738,-0.012296216051782,-0.002871980423268,0.018006258538375,-0.023574473094382,-0.007386029880133,-0.013976520728913,0.000991114169869,0.018561942712013,-0.017251381296858,-0.006132402512011,-0.025013931881479,,,,,,,,,,,,,,,,,,,,,3.37304495316653,4,0.357682619647355,1.07128929931657,3,0.043828715365239,0.995532733046855,2,0.016624685138539,3.40889964898339,4,0.323929471032746,3.23756843556301,2,0.237531486146096,4.20364624961498e-05,4.37637383838697,0.000210977528712,3.67576379909092,2.30175565384996,0.000198969390601,3.70121373020086,0.000707726566569,3.15013450158623,2.37751222011968,0.772894130716396,0.111879990680045,0.854008316933202,0.068537899825506,-0.035854695816854,0.465636731346458,0.331952768066341,0.582779893898309,0.234495439948793,0.135476517603521,0.802364226475454,0.095628442637995,0.878929116390244,0.056046148364095,0.075756566269714,8.13413261534094e-06,5.0896887513264,5.06725633212844e-05,4.29522712594158,-2.33761034966682,0.001226090377509,2.91147751594588,0.006904367090369,2.16087612617416,-2.16627913624644,9.80110348010331e-05,4.00872502549722,0.000338513722113,3.47042372190555,-2.41336691593653,0.006185773394277,2.20860599371172,0.023981209464029,1.6201289175546,-2.24203570251616,0.087498649127763,1.05799865190211,0.20363743192398,0.691142388497188,0.171331213420374
8,FT0009,FT0009,193.690195065542,87.0450004429892,REF_Butyric acid;REF_Isobutyric acid;Acetoin,1,87.0449906814933,87.0450102044851,193.423813103941,193.956577027143,2,14441;19966;26918;29060;31331;33569;35847;38171;40438;42562;44665;48877;50914;55030;57246;59384,237.2901;237.711;240.9537;241.3491;241.8071;242.238;242.5124;242.65;242.9911;243.9907;244.2043|36.3113654801907;72.6865651823687;45.7384459848868;45.7758710757275;36.6553426365215;55.0316338035884;36.7087507956114;36.7191768591056;73.48994274289;55.2310744042245;36.8365921387124,1.0,-0.031261210525342,-0.001540912102882,0.020813389172554,-0.014109448814283,-0.013003739896791,0.013537945991944,-0.031187137145581,-0.008330272250377,-0.016511631151688,-0.00358628969596,-0.007860206246216,0.003119934022723,-0.007361850112955,0.001541171347448,0.007741748211137,0.001247586286538,0.0104131759394,-0.001027918635707,-0.009568866522512,0.023434838194854,-0.042603896317575,0.017377924799983,0.018051657866854,-0.023284287673941,-0.004519291257127,-0.018813480096335,-0.042322054183141,0.00590353053675,0.018319984061375,0.00348182976018,0.010747066121395,0.003916217461658,0.012372865313625,-0.011225908944323,-0.013800167371081,-0.005629674592091,-0.005937419294676,-0.003977336453986,-0.012273762619102,0.078947655883477,3.61733778297403,4,0.461964735516373,1.35560592555436,3,0.063979848866499,1.57145061495451,3,0.0455919395466,3.57134223838927,4,0.412090680100756,3.42828204148638,2,0.339546599496222,1.20159793341537e-06,5.92024082726657,2.24089272111794e-05,4.64957893406811,2.26173185741966,6.35091641039958e-06,5.19716360332786,5.93456179537101e-05,4.22661134358021,2.04588716801952,0.565582959286982,0.24750368407523,0.69988230062332,0.154974989253865,0.045995544584756,0.116740077745677,0.932780021797596,0.222517490951435,0.652635845693684,0.189055741487647,0.091060333215687,1.04067076481776,0.260554126683031,0.584102044042119,-0.215844689400144,3.11015336679956e-07,6.50721819466689,6.49096160863072e-06,5.18769095953459,-2.21573631283491,4.53107052137942e-05,4.34379917842827,0.001499029164156,2.82418991771278,-2.07267611593202,3.19183804563342e-06,5.49595915293288,3.42044266241527e-05,4.46591768534625,-1.99989162343476,0.000500842309868,3.30029899016881,0.007020996532404,2.15360124145874,-1.85683142653187,0.090522554017687,1.0432432012911,0.208175635819227,0.68157010022624,0.143060196902892
9,FT0010,FT0010,46.0037218111087,88.040464271218,Sarcosine;Ethyl carbamate;Alanine,1,88.0403555787594,88.0406425470049,45.1330808427094,47.0683067651764,16,4;1582;3027;4579;6170;7818;9445;11084;12762;14442;16222;18140;19967;21851;23426;25207,88.04206|591.66077015731,0.666666666666667,0.001791111900921,-0.00449210752799,-0.006919576377576,0.003168860658165,-0.00976673115244,-0.002245348702495,0.00176518144976,-0.004152905783534,0.010507294057973,-0.004927886701421,0.002986263554077,-0.003271377082642,-0.000968214265426,0.003369050887865,-0.003345699569361,-0.001497735615385,0.000208600069076,0.001216086000349,0.004411752049057,0.034655242995247,0.002218599056721,-0.012158481194954,-0.002553957543563,-0.002634076238647,-0.01423891272077,-0.00122679138697,0.002166149533745,-0.013347085287027,-0.008386082971536,0.006254462817567,-0.001042437587026,0.007766681347902,-0.001971340613004,-0.002061983157156,0.005997604228604,0.001529408480806,-0.006053553565309,-0.002324570082547,0.00753645323873,-0.057362896982931,4.83666930654866,4,0.924937027707809,5.15400288140059,3,0.965239294710327,4.70749453422033,3,0.901007556675063,4.78071771977176,4,0.923425692695214,4.77195037565497,2,0.940302267002519,0.00033016983725,3.48126260434455,0.001023947764805,2.98972219769179,-0.317333574851925,0.024116655252293,1.61768292481543,0.039779841409862,1.40033695260824,0.129174772328331,0.094205964290944,1.02592160063974,0.219776776539192,0.658018200692042,0.0559515867769,0.077777472288371,1.10914617521595,0.167540187186561,0.775881003671909,0.064718930893696,0.001169044934764,2.93216879547218,0.016682322661852,1.77774348313469,0.446508347180256,0.00021035372319,3.67704979671314,0.000548194551343,3.26106528534746,0.373285161628825,0.003588163827114,2.44512773631151,0.013283941594801,1.87667304252195,0.38205250574562,0.147309263449717,0.831769941965252,0.175981087549903,0.754534002720233,-0.073223185551431,0.311581357581779,0.506428534765729,0.411910554723111,0.385197079616108,-0.064455841434636,0.801193201850122,0.096262744365362,0.868397112497113,0.061281629285622,0.008767344116795
